OBJECTID,Comuna,Shape,codigo,Shape_Area,Shape_Length,Año,Valor
1,Popular,"(4718611.922461629, 2254112.982707406)",1,3097940950849382,9604448561523164,2014,57
1,Popular,"(4718611.922461629, 2254112.982707406)",1,3097940950849382,9604448561523164,2015,64
1,Popular,"(4718611.922461629, 2254112.982707406)",1,3097940950849382,9604448561523164,2016,58
1,Popular,"(4718611.922461629, 2254112.982707406)",1,3097940950849382,9604448561523164,2017,58
1,Popular,"(4718611.922461629, 2254112.982707406)",1,3097940950849382,9604448561523164,2018,58
1,Popular,"(4718611.922461629, 2254112.982707406)",1,3097940950849382,9604448561523164,2019,57
1,Popular,"(4718611.922461629, 2254112.982707406)",1,3097940950849382,9604448561523164,2020,56
1,Popular,"(4718611.922461629, 2254112.982707406)",1,3097940950849382,9604448561523164,2021,61
2,Santa Cruz,"(4717471.901360827, 2254648.3111255593)",2,2195662601386407,8597294373605435,2014,58
2,Santa Cruz,"(4717471.901360827, 2254648.3111255593)",2,2195662601386407,8597294373605435,2015,65
2,Santa Cruz,"(4717471.901360827, 2254648.3111255593)",2,2195662601386407,8597294373605435,2016,6
2,Santa Cruz,"(4717471.901360827, 2254648.3111255593)",2,2195662601386407,8597294373605435,2017,6
2,Santa Cruz,"(4717471.901360827, 2254648.3111255593)",2,2195662601386407,8597294373605435,2018,6
2,Santa Cruz,"(4717471.901360827, 2254648.3111255593)",2,2195662601386407,8597294373605435,2019,62
2,Santa Cruz,"(4717471.901360827, 2254648.3111255593)",2,2195662601386407,8597294373605435,2020,57
2,Santa Cruz,"(4717471.901360827, 2254648.3111255593)",2,2195662601386407,8597294373605435,2021,64
3,Manrique,"(4718479.607630689, 2251852.4937053234)",3,5096182230156728,120775591324662,2014,61
3,Manrique,"(4718479.607630689, 2251852.4937053234)",3,5096182230156728,120775591324662,2015,68
3,Manrique,"(4718479.607630689, 2251852.4937053234)",3,5096182230156728,120775591324662,2016,61
3,Manrique,"(4718479.607630689, 2251852.4937053234)",3,5096182230156728,120775591324662,2017,62
3,Manrique,"(4718479.607630689, 2251852.4937053234)",3,5096182230156728,120775591324662,2018,62
3,Manrique,"(4718479.607630689, 2251852.4937053234)",3,5096182230156728,120775591324662,2019,62
3,Manrique,"(4718479.607630689, 2251852.4937053234)",3,5096182230156728,120775591324662,2020,57
3,Manrique,"(4718479.607630689, 2251852.4937053234)",3,5096182230156728,120775591324662,2021,64
4,Aranjuez,"(4716680.291627194, 2252195.0294205956)",4,4883314087520373,9642676543479752,2014,65
4,Aranjuez,"(4716680.291627194, 2252195.0294205956)",4,4883314087520373,9642676543479752,2015,7
4,Aranjuez,"(4716680.291627194, 2252195.0294205956)",4,4883314087520373,9642676543479752,2016,64
4,Aranjuez,"(4716680.291627194, 2252195.0294205956)",4,4883314087520373,9642676543479752,2017,66
4,Aranjuez,"(4716680.291627194, 2252195.0294205956)",4,4883314087520373,9642676543479752,2018,68
4,Aranjuez,"(4716680.291627194, 2252195.0294205956)",4,4883314087520373,9642676543479752,2019,7
4,Aranjuez,"(4716680.291627194, 2252195.0294205956)",4,4883314087520373,9642676543479752,2020,67
4,Aranjuez,"(4716680.291627194, 2252195.0294205956)",4,4883314087520373,9642676543479752,2021,68
5,Castilla,"(4715903.412076725, 2253981.9996353034)",5,6063915514971976,1609803210800692,2014,67
5,Castilla,"(4715903.412076725, 2253981.9996353034)",5,6063915514971976,1609803210800692,2015,72
5,Castilla,"(4715903.412076725, 2253981.9996353034)",5,6063915514971976,1609803210800692,2016,69
5,Castilla,"(4715903.412076725, 2253981.9996353034)",5,6063915514971976,1609803210800692,2017,66
5,Castilla,"(4715903.412076725, 2253981.9996353034)",5,6063915514971976,1609803210800692,2018,73
5,Castilla,"(4715903.412076725, 2253981.9996353034)",5,6063915514971976,1609803210800692,2019,75
5,Castilla,"(4715903.412076725, 2253981.9996353034)",5,6063915514971976,1609803210800692,2020,61
5,Castilla,"(4715903.412076725, 2253981.9996353034)",5,6063915514971976,1609803210800692,2021,7
6,Doce de Octubre,"(4714743.451115304, 2254761.3938639592)",6,38498120727601980,10709846407300310,2014,62
6,Doce de Octubre,"(4714743.451115304, 2254761.3938639592)",6,38498120727601980,10709846407300310,2015,7
6,Doce de Octubre,"(4714743.451115304, 2254761.3938639592)",6,38498120727601980,10709846407300310,2016,63
6,Doce de Octubre,"(4714743.451115304, 2254761.3938639592)",6,38498120727601980,10709846407300310,2017,64
6,Doce de Octubre,"(4714743.451115304, 2254761.3938639592)",6,38498120727601980,10709846407300310,2018,67
6,Doce de Octubre,"(4714743.451115304, 2254761.3938639592)",6,38498120727601980,10709846407300310,2019,68
6,Doce de Octubre,"(4714743.451115304, 2254761.3938639592)",6,38498120727601980,10709846407300310,2020,6
6,Doce de Octubre,"(4714743.451115304, 2254761.3938639592)",6,38498120727601980,10709846407300310,2021,67
7,Robledo,"(4713275.71134015, 2252410.4420975056)",7,9462007704047674,23265233431348750,2014,66
7,Robledo,"(4713275.71134015, 2252410.4420975056)",7,9462007704047674,23265233431348750,2015,7
7,Robledo,"(4713275.71134015, 2252410.4420975056)",7,9462007704047674,23265233431348750,2016,67
7,Robledo,"(4713275.71134015, 2252410.4420975056)",7,9462007704047674,23265233431348750,2017,67
7,Robledo,"(4713275.71134015, 2252410.4420975056)",7,9462007704047674,23265233431348750,2018,68
7,Robledo,"(4713275.71134015, 2252410.4420975056)",7,9462007704047674,23265233431348750,2019,68
