OBJECTID,Comuna,codigo,Shape,Shape_Area,Shape_Length,Año,índice (Valor)
19,Altavista,70,"(4708517.330020405, 2246822.6598185324)",2872578328352506,3501258288575261,2023,1482
4,Aranjuez,4,"(4716680.291627194, 2252195.0294205956)",4883314087520373,9642676543479752,2023,133
16,Belén,16,"(4712464.646424875, 2246614.0744316597)",8856232001394011,25695016634207840,2023,497
9,Buenos Aires,9,"(4717615.2868070705, 2247244.7482453715)",6052668286001971,1836490299510415,2023,735
5,Castilla,5,"(4715903.412076725, 2253981.9996353034)",6063915514971976,1609803210800692,2023,1245
6,Doce de Octubre,6,"(4714743.451115304, 2254761.3938639592)",38498120727601980,10709846407300310,2023,1001
14,El Poblado,14,"(4716105.141389329, 2243895.5048197634)",1441432282772217,19965687059117800,2023,235
15,Guayabal,15,"(4713893.91312301, 2245262.804141909)",7288420726785111,13279243204644290,2023,564
12,La América,12,"(4711800.387879477, 2249823.2178688487)",39733069584038740,15425495027124890,2023,129
10,La Candelaria,10,"(4715944.532195215, 2249048.1243153503)",7360811029417884,13632701394923220,2023,555
11,Laureles Estadio,11,"(4713343.505881916, 2249368.142262306)",7402669301326557,16365175496146,2023,328
3,Manrique,3,"(4718479.607630689, 2251852.4937053234)",5096182230156728,120775591324662,2023,2341
1,Popular,1,"(4718611.922461629, 2254112.982707406)",3097940950849382,9604448561523164,2023,2768
7,Robledo,7,"(4713275.71134015, 2252410.4420975056)",9462007704047674,23265233431348750,2023,1032
20,San Antonio de Prado,80,"(4704270.352085299, 2245613.063627898)",6056777168704203,4047228393637327,2023,134
18,San Cristóbal,60,"(4708034.050193128, 2253812.2220230075)",54112792242404780,5116261742571545,2023,1277
13,San Javier,13,"(4710446.833375132, 2250061.46529047)",4849278874958561,2638422054676626,2023,1273
17,San Sebastián de Palmitas,50,"(4702567.6733262185, 2257955.7318096347)",5779920250778169,3839921195236707,2023,1647
2,Santa Cruz,2,"(4717471.901360827, 2254648.3111255593)",2195662601386407,8597294373605435,2023,2437
21,Santa Elena,90,"(4721626.544324636, 2247611.5894908938)",7411415289082207,6652705396435653,2023,1816
8,Villa Hermosa,8,"(4718584.283001129, 2249006.5964515195)",5716967861815598,16392858844819500,2023,1554
19,Altavista,70,"(4708517.330020405, 2246822.6598185324)",2872578328352506,3501258288575261,2022,419
4,Aranjuez,4,"(4716680.291627194, 2252195.0294205956)",4883314087520373,9642676543479752,2022,915
16,Belén,16,"(4712464.646424875, 2246614.0744316597)",8856232001394011,25695016634207840,2022,555
9,Buenos Aires,9,"(4717615.2868070705, 2247244.7482453715)",6052668286001971,1836490299510415,2022,1009
5,Castilla,5,"(4715903.412076725, 2253981.9996353034)",6063915514971976,1609803210800692,2022,51
6,Doce de Octubre,6,"(4714743.451115304, 2254761.3938639592)",38498120727601980,10709846407300310,2022,1462
14,El Poblado,14,"(4716105.141389329, 2243895.5048197634)",1441432282772217,19965687059117800,2022,112
15,Guayabal,15,"(4713893.91312301, 2245262.804141909)",7288420726785111,13279243204644290,2022,651
12,La América,12,"(4711800.387879477, 2249823.2178688487)",39733069584038740,15425495027124890,2022,91
10,La Candelaria,10,"(4715944.532195215, 2249048.1243153503)",7360811029417884,13632701394923220,2022,774
11,Laureles Estadio,11,"(4713343.505881916, 2249368.142262306)",7402669301326557,16365175496146,2022,89
3,Manrique,3,"(4718479.607630689, 2251852.4937053234)",5096182230156728,120775591324662,2022,1285
1,Popular,1,"(4718611.922461629, 2254112.982707406)",3097940950849382,9604448561523164,2022,1791
7,Robledo,7,"(4713275.71134015, 2252410.4420975056)",9462007704047674,23265233431348750,2022,1058
20,San Antonio de Prado,80,"(4704270.352085299, 2245613.063627898)",6056777168704203,4047228393637327,2022,829
18,San Cristóbal,60,"(4708034.050193128, 2253812.2220230075)",54112792242404780,5116261742571545,2022,1406
13,San Javier,13,"(4710446.833375132, 2250061.46529047)",4849278874958561,2638422054676626,2022,1261
17,San Sebastián de Palmitas,50,"(4702567.6733262185, 2257955.7318096347)",5779920250778169,3839921195236707,2022,1497
