Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|llave_hogar|P6160|P6170|P6175|P6210|P6210S1|P6220
3377247|1|1|1|2377.6057905|33772471|1|2||5|11|2
3377247|1|2|2|2377.6057905|33772471|1|2||5|11|2
3377247|1|3|3|2377.6057905|33772471|1|1|1|3|04|
3377248|1|1|1|3053.9488825|33772481|2|2||1|00|
3377248|1|2|2|3053.9488825|33772481|2|2||1|00|
3377248|1|3|3|3053.9488825|33772481|1|2||3|05|
3377249|1|1|1|4419.7917386|33772491|1|2||3|05|
3377249|1|2|2|4419.7917386|33772491|1|2||4|06|
3377249|1|3|3|4419.7917386|33772491|1|2||4|09|
3377249|1|4|4|4419.7917386|33772491|1|2||4|07|
3377249|1|5|5|4419.7917386|33772491|2|1|1|3|00|
3377249|1|6|6|4419.7917386|33772491|2|1|1|2|00|
3377250|1|1|1|2893.9762673|33772501|1|2||4|08|
3377251|1|1|1|2176.6660465|33772511|1|2||5|11|2
3377252|1|1|1|3381.5331752|33772521|1|2||6|02|3
3377252|1|2|2|3381.5331752|33772521|1|2||6|03|3
3377252|1|3|3|3381.5331752|33772521|1|1|1|3|00|
3377253|1|1|1|3658.7132295|33772531|1|2||4|08|
3377253|1|2|2|3658.7132295|33772531|1|2||3|05|
3377253|1|3|3|3658.7132295|33772531|1|2||4|09|
3377253|1|4|4|3658.7132295|33772531|1|1|1|3|01|
3377253|1|5|5|3658.7132295|33772531|1|1|1|3|01|
3377254|1|1|1|2664.2229544|33772541|2|2||1|00|
3377254|1|2|2|2664.2229544|33772541|1|2||5|11|2
3377254|1|3|3|2664.2229544|33772541|1|1|1|3|03|
3377255|1|1|1|3442.9590797|33772551|1|2||5|11|2
3377255|1|2|2|3442.9590797|33772551|1|1|1|4|09|
3377256|1|1|1|1985.7317352|33772561|1|2||5|11|2
3377256|1|2|2|1985.7317352|33772561|1|2||5|11|2
3377256|1|3|3|1985.7317352|33772561|2|1|1|2|00|
3377256|1|4|4|1985.7317352|33772561|1|2||5|11|2
3377256|1|5|5|1985.7317352|33772561|1|2||6|02|3
3377257|1|1|1|3426.8754745|33772571|1|2||6|08|5
3377258|1|1|1|3426.8754745|33772581|1|2||6|06|5
3377259|1|1|1|5178.869332|33772591|1|2||6|07|5
3377260|1|1|1|3426.8754745|33772601|1|2||6|05|4
3377261|1|1|1|3377.1957216|33772611|1|2||3|02|
3377262|1|1|1|1590.3381538|33772621|1|2||5|11|2
3377262|1|2|2|1590.3381538|33772621|1|1|1|3|03|
3377262|1|3|3|1590.3381538|33772621|2|1|1|3|00|
3377262|1|4|4|1590.3381538|33772621|1|1|1|4|09|
