Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|area|P5747|P8520S1|P8520S1A1|P8520S2|P8520S3|P8520S4|P8520S5
3377247|1|1|1|2377.6057905|05|1|1|2|2|1|1|1
3377248|1|1|1|3053.9488825|05|1|1|2|2|1|1|1
3377249|1|1|1|4419.7917386|05|1|1|2|1|1|1|1
3377250|1|1|1|2893.9762673|05|2|1|2|2|1|1|1
3377251|1|1|1|2176.6660465|05|2|1|2|2|1|1|1
3377252|1|1|1|3381.5331752|05|2|1|2|2|1|1|1
3377253|1|1|1|3658.7132295|05|2|1|2|1|1|1|1
3377254|1|1|1|2664.2229544|05|2|1|2|1|1|1|1
3377255|1|1|1|3442.9590797|05|2|1|2|1|1|1|1
3377256|1|1|1|1985.7317352|05|2|1|2|1|1|1|1
3377257|1|1|1|3426.8754745|05|2|1|3|1|1|1|1
3377258|1|1|1|3426.8754745|05|2|1|3|1|1|1|1
3377259|1|1|1|5178.869332|05|2|1|3|1|1|1|1
3377260|1|1|1|3426.8754745|05|2|1|3|1|1|1|1
3377261|1|1|1|3377.1957216|05|2|1|1|1|1|1|1
3377262|1|1|1|1590.3381538|05|2|1|1|2|1|1|1
3377263|1|1|1|3031.7089913|05|2|1|1|1|1|1|1
3377265|1|1|1|6160.2583492|05|2|1|3|1|1|1|1
3377266|1|1|1|1665.4993247|08|2|1|2|1|1|1|1
3377267|1|1|1|1940.8202088|08|2|1|2|1|1|1|1
3377268|1|1|1|1723.4134495|08|2|1|2|1|1|1|1
3377269|1|1|1|2079.2138793|08|2|1|2|1|1|1|1
3377270|1|1|1|1214.1134311|08|2|1|2|1|1|1|1
3377271|1|1|1|1214.4236138|08|2|1|2|1|1|1|1
3377272|1|1|1|829.19114601|08|2|1|2|1|1|1|1
3377273|1|1|1|1563.839335|08|1|1|2|1|1|1|1
3377274|1|1|1|980.70756875|08|2|1|1|1|1|1|1
3377275|1|1|1|703.56832804|08|2|1|1|1|1|1|1
3377276|1|1|1|1536.2531822|08|1|1|2|1|1|1|1
3377277|1|1|1|755.03788452|08|1|1|2|1|1|1|1
3377278|1|1|1|562.15506906|08|1|1|2|1|1|1|1
3377279|1|1|1|1340.0509471|08|1|1|2|1|1|1|1
3377280|1|1|1|1326.7993383|08|2|1|1|1|1|1|1
3377281|1|1|1|1535.1607285|08|2|1|2|1|1|1|1
3377282|1|1|1|716.59734236|08|2|1|1|1|1|1|1
3377283|1|1|1|1203.6751024|08|2|1|3|1|1|1|1
3377284|1|1|1|1266.2827314|08|2|1|3|1|1|1|1
3377285|1|1|1|1557.1676391|08|2|1|3|1|1|1|1
3377286|1|1|1|1612.9538951|08|2|1|3|1|1|1|1
3377287|1|1|1|1480.3133113|08|2|1|3|1|1|1|1
3377288|1|1|1|2184.8934147|08|2|1|1|1|1|1|1
3377289|1|1|1|1847.9600287|08|1|1|1|1|1|1|1
3377290|1|1|1|1480.3133113|08|1|1|1|1|1|1|1
3377291|1|1|1|2347.4829601|08|2|1|1|1|1|1|1
3377292|1|1|1|1579.5898952|08|2|1|1|1|1|1|1
3377293|1|1|1|1302.9516863|08|2|1|1|1|1|1|1
3377294|1|1|1|1125.5399846|08|1|1|1|1|1|1|1
3377295|1|1|1|1597.7626122|08|2|1|1|1|1|1|1
3377296|1|1|1|1665.0334088|08|1|1|1|1|1|1|1
3377297|1|1|1|816.93725478|08|1|1|1|1|1|1|1
3377298|1|1|1|1080.6103212|08|1|1|1|1|1|1|1
3377299|1|1|1|908.41482129|08|1|1|1|1|1|1|1
3377300|1|1|1|771.85493563|08|1|1|1|1|1|1|1
3377301|1|1|1|444.26915651|08|2|1|1|1|1|1|1
3377302|1|1|1|598.47988672|08|2|1|1|1|1|1|1
3377303|1|1|1|820.77442818|08|1|1|1|1|1|1|1
3377304|1|1|1|5086.0937573|11|1|1|2|1|1|1|1
3377305|1|1|1|9994.973235|11|1|1|2|1|1|1|1
3377306|1|1|1|9660.4439985|11|1|1|2|1|1|1|1
3377307|1|1|1|9794.3955496|11|1|1|2|1|1|1|1
3377308|1|1|1|8205.2760588|11|1|1|2|1|1|1|1
3377309|1|1|1|11050.556887|11|1|1|2|1|1|1|1
3377310|1|1|1|9822.2457099|11|1|1|2|1|1|1|1
3377311|1|1|1|3144.6397537|11|2|1|4|1|1|1|1
3377312|1|1|1|7198.5771836|11|2|1|4|1|1|1|1
3377313|1|1|1|3144.6397537|11|2|1|4|1|1|1|1
3377314|1|1|1|4003.3666929|11|2|1|4|1|1|1|1
3377315|1|1|1|7174.2273437|11|2|1|4|1|1|1|1
3377316|1|1|1|5081.1420528|11|2|1|4|1|1|1|1
