Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|llave_hogar|P37|P38S1|P38S1A1|P38S2|P38S2A1|P38S3|P38S3A1
3377311|1|1|1|3144.6397537|33773111|1|1|150000|2||2|
3377315|1|1|1|7174.2273437|33773151|1|1|300000|2||2|
3377346|1|1|1|142.78547854|33773461|1|1|60000|1|100000|1|40000
3377352|1|1|1|102.87283604|33773521|1|1|100000|1|100000|2|
3377353|1|1|1|145.72997478|33773531|1|1|200000|1|150000|2|
3377563|1|1|1|96.352472293|33775631|2||||||
3377604|1|1|1|216.85526496|33776041|1|1|120000|1|1100000|2|
3377712|1|1|1|387.75809563|33777121|1|1|150000|2||2|
3377990|1|1|1|5328.5335491|33779901|1|1|80000|2||2|
3378080|1|1|1|182.35073458|33780801|1|1|80000|1|300000|1|200000
3378242|1|1|1|220.98257341|33782421|1|1|100000|1|300000|2|
3378893|1|1|1|5832.7995432|33788931|1|1|40000|2||2|
3378898|1|1|1|7607.9994042|33788981|1|1|80000|2||2|
3378987|1|1|1|133.75441167|33789871|2||||||
3379598|1|1|1|179.28580628|33795981|1|1|45000|1|800000|2|
3379693|1|1|1|218.55540873|33796931|1|1|50000|2||2|
3379753|1|1|1|474.97087523|33797531|1|1|160000|2||2|
3380264|1|1|1|102.87283604|33802641|1|1|300000|1|500000|1|200000
3380266|1|1|1|292.44954047|33802661|1|1|500000|1|1000000|2|
3380266|1|2|2|292.44954047|33802661|1|1|800000|1|300000|2|
3380405|1|1|1|360.81206193|33804051|1|1|300000|1|300000|2|
3380420|1|1|1|208.44970655|33804201|1|1|100000|1|150000|2|
3380566|1|1|1|837.33793496|33805661|1|1|250000|1|1000000|2|
3380815|1|1|1|159.95681575|33808151|1|1|100000|2||2|
3387124|1|1|1|720.55238398|33871241|2||||||
3387242|1|1|1|2347.8365677|33872421|1|1|160000|1|300000|2|
3388020|1|1|1|698.07069675|33880201|1|1|60000|1|780000|2|
3388021|1|1|1|630.94526817|33880211|1|2||1|250000|2|
3388030|1|1|1|820.97265902|33880301|1|1|150000|1|120000|2|
3388063|1|1|1|238.49913019|33880631|1|1|170000|1|2000000|2|
3388237|1|1|1|410.40475651|33882371|2||||||
3388322|1|1|1|2331.3019492|33883221|2||||||
3388507|1|1|1|141.80121786|33885071|1|2||1|1200000|2|
3388574|1|1|1|70.22694381|33885741|2||||||
3388625|1|1|1|278.54118856|33886251|2||||||
3388627|1|1|1|240.43206712|33886271|1|1|110000|1|30000|2|
3388667|1|1|1|475.38130178|33886671|2||||||
3389368|1|1|1|177.44013295|33893681|1|1|70000|1|100000|2|
3389411|1|1|1|369.57871843|33894111|1|1|200000|1|300000|2|
3389412|1|1|1|238.49913019|33894121|1|1|70000|1|100000|2|
3389649|1|1|1|426.71385081|33896491|2||||||
3389656|1|1|1|411.09672709|33896561|1|1|500000|1|1400000|2|
3389820|1|1|1|488.34279445|33898201|1|1|700000|1|500000|1|500000
3389953|1|1|1|254.17063606|33899531|1|1|100000|1|1400000|2|
3390813|1|1|1|567.00199237|33908131|1|1|500000|1|1300000|2|
3390816|1|1|1|504.52275812|33908161|1|1|200000|1|1300000|2|
3391282|1|1|1|274.52360626|33912821|1|1|300000|1|250000|1|1100000
3391880|1|1|1|31.429041366|33918801|2||||||
3391897|1|1|1|119.34709349|33918971|1|1|120000|2||1|500000
3391911|1|1|1|139.93177243|33919111|1|1|300000|2||2|
3391913|1|1|1|431.21009185|33919131|1|1|200000|2||2|
3391973|1|1|1|181.32805997|33919731|1|1|60000|2||2|
3392191|1|1|1|1718.8044437|33921911|1|1|600000|2||2|
3392227|1|1|1|6030.1528324|33922271|1|1|120000|2||2|
3392693|1|1|1|352.7063135|33926931|2||||||
3392717|1|1|1|2240.5181712|33927171|1|1|80000|1|120000|2|
3392754|1|1|1|783.70205704|33927541|2||||||
3392936|1|1|1|48.01894222|33929361|2||||||
3392994|1|1|1|306.13305864|33929941|1|1|200000|1|100000|2|
3393083|1|1|1|417.73535824|33930831|2||||||
3393173|1|1|1|2482.393819|33931731|1|1|180000|2||2|
3393259|1|1|1|175.33636514|33932591|1|1|500000|2||2|
3393547|1|1|1|2280.9678653|33935471|1|1|150000|2||1|150000
3393643|1|1|1|2010.9527586|33936431|1|1|170000|2||2|
3393645|1|1|1|2572.0831466|33936451|1|1|290000|1|300000|2|
3393656|1|1|1|9187.4396765|33936561|1|1|200000|2||2|
3393658|1|1|1|8983.005643|33936581|1|2||1|500000|2|
3393728|1|1|1|346.17037318|33937281|1|1|200000|1|400000|2|
3393758|1|1|1|112.54439583|33937581|1|1|600000|2||2|
3394330|1|1|1|467.7320345|33943301|1|1|70000|2||2|
3394396|1|1|1|417.64701813|33943961|1|1|85000|1|150000|2|
